pairs 25
100.0 C | ett äpple [Frukt och grönsaker 08-mat.txt:111] <> Apple [Kända varumärken 10-vardag.txt:141]
 96.6   | den olympiska elden [Olympiska spelen 07-sport.txt:57] <> den olympiska eden [Olympiska spelen 07-sport.txt:76]
 95.7   | Råttatouille [Animerat och tecknat 06-film-internet.txt:115] <> ratatouille [Mat från hela världen 08-mat.txt:42]
 94.1 C | George VI [Brittiska kungahuset 12-expansion.txt:655] <> George V [Brittiska kungahuset 12-expansion.txt:666]
 92.3 C | SALT II [Kalla kriget 12-expansion.txt:393] <> SALT I [1970-talet 12-expansion.txt:537]
 92.3   | Vättern [Hav, sjöar och floder 01-geografi.txt:171] <> vatten [Kemi i vardagen 02-vetenskap.txt:164]
 92.3   | kalcium [Periodiska systemet 02-vetenskap.txt:11] <> kalium [Trädgård och odling 12-expansion.txt:2605]
 92.3 C | natrium [Periodiska systemet 02-vetenskap.txt:14] <> ett atrium [Arkitektur 12-expansion.txt:1761]
 90.9 C | Beagle [Upptäcktsresor 04-historia.txt:184] <> en eagle [Sportens regler och begrepp 07-sport.txt:234]
 90.9 C | en serve [Racketsport 07-sport.txt:142] <> en server [Internet 12-expansion.txt:2035]
 90.0 C | The Witch [Skräckfilm 12-expansion.txt:2318] <> The Witcher [Fantasy 12-expansion.txt:2357]
 88.9 C | Fjällräven [Kända varumärken 10-vardag.txt:151] <> fjällräv [Svenska djur 12-expansion.txt:1202]
 88.9 C | Freja [Nordisk mytologi 09-kultur.txt:59] <> Frej [Nordisk mytologi 09-kultur.txt:79]
 88.9 C | HTTP [Internet 12-expansion.txt:2027] <> HTTPS [Internet 12-expansion.txt:2032]
 88.9 C | Kenya [Flaggor 01-geografi.txt:132] <> Enya [Internationella artister 05-musik.txt:51]
 88.9 C | en katt [Husdjur och bondgårdsdjur 03-natur.txt:111] <> en skatt [Pengar och ekonomi 10-vardag.txt:166]
 88.9 C | en mula [Husdjur och bondgårdsdjur 03-natur.txt:128] <> Mulan [Disney 12-expansion.txt:34]
 88.9 C | en romb [Former och geometri 02-vetenskap.txt:97] <> en tromb [Väder och klimat 02-vetenskap.txt:232]
 88.9 C | en tall [Träd och skogar 03-natur.txt:139] <> ett stall [Flyg och flygplan 12-expansion.txt:1790]
 88.9 C | en tång [Verktyg och byggande 10-vardag.txt:90] <> tango [Dans 12-expansion.txt:2136]
 88.9 C | en varg [Vilda djur 03-natur.txt:8] <> kvarg [Ost och mejeriprodukter 08-mat.txt:209]
 88.9 C | kolik [Hästar 12-expansion.txt:128] <> Koli [Nordens geografi 12-expansion.txt:1426]
 88.9 C | rost [Kemi i vardagen 02-vetenskap.txt:167] <> Frost [Musik från film och musikal 05-musik.txt:249]
 88.9 C | ytspänning [Fysik i vardagen 02-vetenskap.txt:150] <> spänning [El och elektronik 12-expansion.txt:2000]
 88.9 C | ärtsoppa [Svensk husmanskost 08-mat.txt:4] <> svartsoppa [Svensk husmanskost 08-mat.txt:24]
