@Länder och huvudstäder|Vad är
Stockholm|Gamla stan breder ut sig kring det kungliga slottet. Denna huvudstad ligger i Sverige.
Oslo|Operahusets vita tak sluttar ner mot fjorden. Denna huvudstad ligger i Norge.
Köpenhamn|Tivoli och den lilla sjöjungfrun hör till stadens sevärdheter. Denna huvudstad ligger i Danmark.
London|Themsen flyter förbi parlamentet och Big Ben. Denna huvudstad ligger i Storbritannien.
Paris|Seine flyter genom staden med Louvren och Eiffeltornet. Denna huvudstad ligger i Frankrike.
Rom|Colosseum påminner om stadens tid som centrum i ett antikt imperium. Denna huvudstad ligger i Italien.
Berlin|En mur delade staden under kalla kriget. Denna huvudstad ligger i Tyskland.
Madrid|Pradomuseet och torget Puerta del Sol finns här. Denna huvudstad ligger i Spanien.
Helsingfors~Helsinki|Den vita domkyrkan reser sig över Senatstorget. Denna huvudstad ligger i Finland.
Aten|Akropolis med templet Parthenon ligger högt över hustaken. Denna huvudstad ligger i Grekland.
Lissabon|Gula spårvagnar klättrar längs kullarna nära floden Tejo. Denna huvudstad ligger i Portugal.
Warszawa|Gamla stan återuppbyggdes efter andra världskrigets förstörelse. Denna huvudstad ligger i Polen.
Prag|Karlsbron går över floden Vltava, som även kallas Moldau. Denna huvudstad ligger i Tjeckien.
Budapest|Donau skiljer stadens två historiska huvuddelar åt. Denna huvudstad ligger i Ungern.
Dublin|Floden Liffey delar staden där Guinness bryggs. Denna huvudstad ligger i Irland.
Ottawa|Parlamentet ligger här, trots att Toronto är betydligt större. Denna huvudstad ligger i Kanada.
Canberra|Rivaliteten mellan Sydney och Melbourne bidrog till att en ny huvudstad anlades. Denna huvudstad ligger i Australien.
Ankara|Regeringen finns här, långt från den större staden vid Bosporen. Denna huvudstad ligger i Turkiet.
Brasília~Brasilia|En planerad stad invigdes som landets nya politiska centrum 1960. Denna huvudstad ligger i Brasilien.
Bern|Förbundspalatset ligger vid floden Aare. Denna huvudstad ligger i Schweiz.
Ljubljana|Drakbron och en borg på en kulle präglar stadens centrum. Denna huvudstad ligger i Slovenien.
Tallinn|En välbevarad medeltida stadskärna ligger vid Finska viken. Denna huvudstad ligger i Estland.
Riga|Floden Daugava rinner genom ett centrum känt för många jugendhus. Denna huvudstad ligger i Lettland.
Vilnius|Gediminas torn blickar ut över den gamla stadskärnan. Denna huvudstad ligger i Litauen.
Reykjavik~Reykjavík|Hallgrímskirkjas höga torn syns över denna nordliga kuststad. Denna huvudstad ligger i Island.

@Sveriges geografi|Vad är
Göteborg|Liseberg och spårvagnarna hör till stadsbilden. Denna ort ligger vid Göta älvs mynning.
Malmö|Turning Torso reser sig över Västra hamnen. Denna ort ligger vid Öresund.
Uppsala|Domkyrkan och universitetet dominerar den historiska stadskärnan. Denna ort ligger vid Fyrisån.
Kiruna|Gruvbrytningen har gjort att delar av staden måste flyttas. Denna ort ligger i Lappland.
Visby|Ringmuren omger den medeltida stadskärnan. Denna ort ligger på Gotland.
Umeå|Björkarna längs gatorna har gett staden ett välkänt smeknamn. Denna ort ligger vid Umeälven.
Örebro|Ett slott står på en holme mitt i centrum. Denna ort ligger vid Svartån i Närke.
Linköping|Flygplanstillverkning och en stor domkyrka präglar staden. Denna ort ligger i Östergötland.
Jönköping|Tändstickstillverkning är en viktig del av dess historia. Denna ort ligger vid Vätterns södra strand.
Karlstad|En sol symboliserar ofta staden. Denna ort ligger där Klarälven når Vänern.
Falun|Koppargruvan gav råvara till ett klassiskt rött huspigment. Denna ort ligger i Dalarna.
Kalmar|Ett renässansslott står vid vattnet. Denna ort ligger vid sundet mot Öland.
Lund|Domkyrkans två torn och universitetet är kända landmärken. Denna ort ligger i Skåne.
Norrköping|Gamla textilfabriker bildar ett industrilandskap mitt i staden. Denna ort ligger vid Motala ström.
Sundsvall|Efter branden 1888 byggdes centrum i sten. Denna ort ligger vid Bottenhavet.
Ystad|Henning Mankells polis Kurt Wallander arbetar här i böckerna. Denna ort ligger på Skånes sydkust.
Karlskrona|Örlogsstaden finns på Unescos världsarvslista. Denna ort ligger i Blekinges skärgård.
Sigtuna|Runstenar och en historia som går tillbaka till sent 900-tal präglar platsen. Denna ort ligger vid Mälaren.
