@Ordspråk|Vad är
ligga|Fyll i slutet av ordspråket: ”Som man bäddar får man …”.
hemma bäst|Fyll i slutet av ordspråket: ”Borta bra men …”.
aldrig|Fyll i slutet av ordspråket: ”Bättre sent än …”.
färdighet|Fyll i slutet av ordspråket: ”Övning ger …”.
sådan hund|Fyll i slutet av ordspråket: ”Sådan herre …”.
sin egen lyckas smed|Fyll i slutet av ordspråket: ”Var och en är …”.
innan man är över bäcken|Fyll i slutet av ordspråket: ”Man ska inte ropa hej …”.
än tio i skogen|Fyll i slutet av ordspråket: ”Bättre en fågel i handen …”.
långt från trädet|Fyll i slutet av ordspråket: ”Äpplet faller inte …”.
gör en stor å|Fyll i slutet av ordspråket: ”Många bäckar små …”.
i glashus|Fyll i slutet av ordspråket: ”Man ska inte kasta sten …”.
skramlar mest|Fyll i slutet av ordspråket: ”Tomma tunnor …”.
stort lass|Fyll i slutet av ordspråket: ”Liten tuva stjälper ofta …”.
kommer solsken|Fyll i slutet av ordspråket: ”Efter regn …”.
faller själv däri|Fyll i slutet av ordspråket: ”Den som gräver en grop åt andra …”.
rostar aldrig|Fyll i slutet av ordspråket: ”Gammal kärlek …”.
han kommer|Fyll i slutet av ordspråket: ”Man ska inte måla fan på väggen förrän …”.
än sin svagaste länk|Fyll i slutet av ordspråket: ”En kedja är inte starkare …”.
dansar råttorna på bordet|Fyll i slutet av ordspråket: ”När katten är borta …”.
står de i farstun|Fyll i slutet av ordspråket: ”När man talar om trollen …”.
illa fäkta|Fyll i slutet av ordspråket: ”Bättre fly än …”.
innan kvällen kommer|Fyll i slutet av ordspråket: ”Man ska inte prisa dagen …”.
men gud rår|Fyll i slutet av ordspråket: ”Människan spår …”.
mister ofta hela stycket|Fyll i slutet av ordspråket: ”Den som gapar efter mycket …”.
förgås inte så lätt|Fyll i slutet av ordspråket: ”Ont krut …”.

@Disney|Vad är
Lady och Lufsen|I denna Disneyfilm delar en bortskämd cocker spaniel och en gathund en berömd spaghettimiddag.
Kejsarens nya stil|I denna Disneyfilm förvandlas en självisk härskare till lama och får hjälp av bonden Pacha att bli människa igen.
Skönheten och odjuret|I denna Disneyfilm hamnar den bokälskande Belle i ett förtrollat slott där en prins har fått ett monstruöst yttre.
Aladdin|I denna Disneyfilm hittar en gatupojke en magisk lampa och får hjälp av en blå ande att vinna prinsessan Jasmins hjärta.
Lilo & Stitch|I denna Disneyfilm adopterar en ensam flicka på Hawaii en blå utomjording som hon tror är en ovanlig hund.
Mulan|I denna Disneyfilm tar en ung kvinna sin fars plats i armén och döljer sin identitet under ett krig i det kejserliga Kina.
Pocahontas|I denna Disneyfilm möter en ung kvinna från powhatanfolket engelsmannen John Smith när kolonister anländer till Virginia.
Ringaren i Notre Dame|I denna Disneyfilm dras klockringaren Quasimodo in i konflikten kring Esmeralda och domaren Frollo i Paris.
Bolt|I denna Disneyfilm tror en vit hundstjärna från en tv-serie att hans påhittade superkrafter är verkliga när han hamnar långt hemifrån.
Tarzan|I denna Disneyfilm växer ett föräldralöst barn upp bland gorillor och möter senare den engelska Jane i djungeln.
Encanto|Denna Disneyfilm handlar om den colombianska familjen Madrigal och deras magiska hus, där Mirabel saknar de andras särskilda gåvor.
Oliver & gänget|Denna Disneyfilm är en lös Dickens-tolkning där en föräldralös kattunge blir vän med gatusmarta hundar i New York.
Prinsessan och grodan|I denna Disneyfilm förvandlas servitrisen Tiana i New Orleans till ett groddjur efter att ha kysst en förtrollad prins.
Big Hero 6|I denna Disneyfilm bildar robotikexperten Hiro och den mjuka vårdroboten Baymax ett högteknologiskt hjältegäng i San Fransokyo.
Trassel|I denna Disneyfilm lämnar en prinsessa med mycket långt magiskt hår tornet där hon har hållits gömd och ger sig av med Flynn Rider.
Fantasia|Denna Disneyfilm kombinerar klassisk musik med animerade sekvenser, bland annat Musse Pigg som trollkarlens lärling.
Dumbo|I denna Disneyfilm upptäcker en ung cirkuselefant att hans ovanligt stora öron gör det möjligt att flyga.
Bambi|I denna Disneyfilm växer en hjortkalv upp med kaninen Stampe och lär sig om vänskap, årstider och förlust.
Robin Hood|I denna Disneyfilm från 1973 gestaltas den fredlöse hjälten från Sherwoodskogen som en räv som stjäl från de rika.
Aristocats|I denna Disneyfilm kidnappas en kattfamilj i Paris av en girig betjänt men får hjälp av en gatukatt att hitta hem.
Skattkammarplaneten|Denna Disneyfilm flyttar Robert Louis Stevensons piratberättelse ut i rymden, där Jim Hawkins söker en legendarisk skatt.
Atlantis: En försvunnen värld|I denna Disneyfilm följer språkexperten Milo Thatch med en expedition till en sjunken civilisation med avancerad teknik.
Taran och den magiska kitteln|I denna Disneyfilm från 1985 måste en ung svinskötare hindra den Hornkrönte från att skapa en armé av odöda.
Bernard och Bianca|I denna Disneyfilm från 1977 ger sig två möss från en internationell räddningsorganisation ut för att hjälpa det kidnappade barnet Penny.
Mästerdetektiven Basil Mus|I denna Disneyfilm från 1986 försöker en musdetektiv i viktorianska London stoppa professor Rottigan.

@Andra världskriget|Vad är
Bletchley Park|På denna brittiska herrgårdsmiljö arbetade kryptologer med att knäcka tyska kodsystem under kriget.
attacken mot Pearl Harbor|Detta japanska överraskningsanfall mot en amerikansk flottbas på Hawaii den 7 december 1941 förde USA in i andra världskriget.
slaget om Stalingrad|Detta slag vid Volga 1942–1943 slutade med att den tyska sjätte armén kapitulerade och blev en vändpunkt på östfronten.
Lend-Lease|USA levererade från 1941 stora mängder vapen, fordon och andra förnödenheter till allierade stater genom detta stödprogram.
blixtkrig|Denna krigföringsmetod kombinerade snabba pansaranfall, flygstöd och rörliga förband för att bryta igenom fiendens linjer.
Operation Barbarossa|Detta kodnamn användes för Nazitysklands invasion av Sovjetunionen som inleddes den 22 juni 1941.
slaget om Storbritannien|I denna luftstrid sommaren och hösten 1940 försökte Luftwaffe besegra RAF och vinna luftherravälde inför en tänkt invasion över Engelska kanalen.
slaget vid Midway|I detta sjöslag i juni 1942 sänkte amerikanska styrkor fyra japanska hangarfartyg nära en atoll i centrala Stilla havet.
slaget vid El Alamein|Detta slag i Egypten hösten 1942 slutade med en brittisk seger under Montgomery och blev en vändpunkt i ökenkriget.
Warszawaupproret|Under detta uppror i Polens huvudstad från augusti 1944 försökte hemmaarmén befria staden från den tyska ockupationen.
Jaltakonferensen|Vid denna konferens på Krim i februari 1945 diskuterade Roosevelt, Churchill och Stalin Europas ordning efter kriget.
